file,bucket,has_url,has_pdf,reason
"Pickling_spices",FULL,false,false,"partial content → Vinst candidate"
"Pipitada_(Melon_Seed_Drink)",CLEAN,true,false,"structured ingredients + steps present"
"Polish_cheese_cake",FULL,false,false,"partial content → Vinst candidate"
"Pot_Roast_RecipeTin_Eats",STUB,true,false,"stub w/ source url → URL import"
"Potato_Blintzes",FULL,false,false,"partial content → Vinst candidate"
"Protein_Bars_Recipe_Alton_Brown_Food_Network",FULL,true,false,"partial content → Vinst candidate"
"Pumpkin_Roll_Oh_So_Delicioso",STUB,true,false,"stub w/ source url → URL import"
"Pumpkin_scones",FULL,false,false,"partial content → Vinst candidate"
"Quiche_flakey_dough",FULL,false,false,"partial content → Vinst candidate"
"Quinine-free_Tonic_Water_Recipe_Summer_Fruit_Cup",FULL,true,false,"partial content → Vinst candidate"
"Quinine-free_Tonic_Water_Recipe_Summer_Fruit_Cup_2",FULL,false,false,"partial content → Vinst candidate"
"Quinine-free_Tonic_Water_Recipe_Summer_Fruit_Cup_3",FULL,false,false,"partial content → Vinst candidate"
"Quinine-free_Tonic_Water_Recipe_Summer_Fruit_Cup_4",FULL,false,false,"partial content → Vinst candidate"
"Ratatouille_Recipe_by_Tasty",CLEAN,true,true,"structured ingredients + steps present"
"Recipe-Wampanoag-Puttuckqunnege-Boiled-or-Baked-Breads.pdf",PDF,true,true,"content likely in PDF: attachments/Recipe-Wampanoag-Puttuckqunnege-Boiled-or-Baked-Breads.pdf_1/Recipe-Wampanoag-Puttuckqunnege-Boiled-or-Baked-Breads.pdf"
"Roasted_Eggplant_with_Meat_Sauce",FULL,false,false,"partial content → Vinst candidate"
"Roasted_Eggplant_with_Meat_Sauce_2",FULL,false,false,"partial content → Vinst candidate"
"Roasted_Sweet_Potatoes_Chelsea's_Messy_Apron",STUB,true,false,"stub w/ source url → URL import"
"Root_Beer_Recipe_From_Scratch",FULL,true,false,"partial content → Vinst candidate"
"SOFT_SOURDOUGH_ROLLS_WITH_TANGZHONG",FULL,false,false,"partial content → Vinst candidate"
"SPICE_SQUARES_WITH_MOLASSES_WHIPPED_CREAM",FULL,false,false,"partial content → Vinst candidate"
"Saffron_Vanilla_Donuts",FULL,true,false,"partial content → Vinst candidate"
"Sandwich_sourdough",FULL,true,false,"partial content → Vinst candidate"
"Scotch_Cookies",FULL,false,false,"partial content → Vinst candidate"
"Scotch_Cookies_2",FULL,false,false,"partial content → Vinst candidate"
"Scottish_fried_chicken",FULL,false,false,"partial content → Vinst candidate"
"Secret_Ingredient_Sourdough_Cornbread_-_The_Clever_Carrot",CLEAN,true,false,"structured ingredients + steps present"
"Seville_Orange_Marmalade",CLEAN,true,false,"structured ingredients + steps present"
"Shepard's_pie",PDF,false,true,"content likely in PDF: attachments/Shepard's_pie_1/The_Best_Classic_Shepherd's_Pie_-_The_Wholesome_Dish.pdf"
"Shepard’s_Pie",FULL,true,false,"partial content → Vinst candidate"
"Shepherd's_Pie",FULL,true,false,"partial content → Vinst candidate"
"Simple_Sourdough_Ciabatta_Bread_Alexandra's_Kitchen",FULL,true,false,"partial content → Vinst candidate"
"Simple_Sourdough_Focaccia_Bread_Recipe_Alexandra's_Kitchen",STUB,true,false,"stub w/ source url → URL import"
"Simple_Whole_Roasted_Chicken_Recipe_-_Allrecipes.com",STUB,false,false,"stub, no url → manual"
"Simple_Whole_Roasted_Chicken_Recipe_-_Allrecipes.com_2",CLEAN,true,false,"structured ingredients + steps present"
"Simple_Whole_Roasted_Chicken_Recipe_-_Allrecipes.com_3",CLEAN,true,false,"structured ingredients + steps present"
"Slow-Cooked_Boeuf_Bourguignon",FULL,true,false,"partial content → Vinst candidate"
"Slow-Roast_Gochujang_Chicken_Recipe_Bon_Appetit",CLEAN,true,false,"structured ingredients + steps present"
"Slow-Roast_Gochujang_Chicken_Recipe_Bon_Appetit_2",FULL,true,false,"partial content → Vinst candidate"
"Slow-Roast_Gochujang_Chicken_Recipe_Bon_Appetit_3",FULL,true,false,"partial content → Vinst candidate"
"Slow_cooker_beef_stew_recipe_BBC_Good_Food",FULL,true,false,"partial content → Vinst candidate"
"Slow_cooker_beef_stew_recipe_BBC_Good_Food_2",FULL,false,false,"partial content → Vinst candidate"
"Smoked_Duck_Breast",FULL,true,false,"partial content → Vinst candidate"
"Smoked_Mulled_Wine_Recipe_Traeger_Grills",CLEAN,true,false,"structured ingredients + steps present"
"Smoked_Mulled_Wine_Recipe_Traeger_Grills_2",FULL,false,false,"real content, prose-ish → good Vinst candidate"
"Smoked_Pastrami_–_Extraordinary_BBQ",FULL,true,false,"partial content → Vinst candidate"
"Smoked_Salt_Cured_Lox_Traeger_Grills",CLEAN,false,true,"structured ingredients + steps present"
"Soft_Sourdough_Pretzels_Recipe_-_Easy_Overnight!_-_Little_Spoon_Farm",FULL,true,false,"partial content → Vinst candidate"
"Soft_and_Fluffy_Overnight_Sourdough_Rolls_•_Heartbeet_Kitchen",PDF,true,true,"content likely in PDF: attachments/Soft_and_Fluffy_Overnight_Sourdough_Rolls_•_Heartbeet_Kitchen_1/Soft_and_Fluffy_Overnight_Sourdough_Rolls_•_Heartbeet_Kitchen.pdf"
"Soft_and_Fluffy_Overnight_Sourdough_Rolls_•_Heartbeet_Kitchen_2",FULL,true,false,"partial content → Vinst candidate"
"Soufico,_One-pot_Vegetable_Stew_Mediterranean_Diet,_Healthy_Greek_&_Blue_Zone_Ikaria_Longevity_Recip",CLEAN,true,false,"structured ingredients + steps present"
"SourDough_Kulchas",FULL,false,false,"partial content → Vinst candidate"
"Sourdough_Biscuits_recipe_Epicurious.com",CLEAN,true,false,"structured ingredients + steps present"
"Sourdough_Brioche_Buns_with_Sourdough_Starter_-_Veena_Azmanov",CLEAN,true,false,"structured ingredients + steps present"
"Sourdough_Brioche_Buns_with_Sourdough_Starter_-_Veena_Azmanov_2",STUB,false,false,"stub, no url → manual"
